,open,high,low,close,volume,ma6,ma24,ma72,rsi_ma6,atr_macd,atr,rsi,macd,macd_signal,volume_ratio,signal,stop_loss,take_profit,filter_data,mean,std
return_correlation,0.010196884675131608,0.01087008214915533,0.009891896624985538,0.01055142425300446,0.0029707031711318104,0.011001550482786279,0.012121506231090075,0.008650715620161193,-0.008605279182096382,0.011507943994801586,0.019320735914999262,-0.01107430313857508,0.002966882384958633,0.008778324424509248,-0.0040390551833648595,-0.009900037744035748,0.019591077149729415,0.01959107714972942,,,
open_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.13228520297126475, 1: 0.13223658192090396, 2: 0.1384552352297593}","{0: 0.09343151180331198, 1: 0.09074733921235001, 2: 0.09549617117930088}"
high_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.13331831107056755, 1: 0.13326644067796609, 2: 0.13944242888402625}","{0: 0.09452367742697709, 1: 0.09172101162694479, 2: 0.09640203287043347}"
low_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.1312074490128364, 1: 0.13116561016949152, 2: 0.1373080579868709}","{0: 0.09236325854133834, 1: 0.08973796540507792, 2: 0.09432249056674476}"
close_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.13230346712712582, 1: 0.1322172485875706, 2: 0.13838969365426695}","{0: 0.09346405382894446, 1: 0.0906721754170275, 2: 0.09530180718470241}"
volume_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 289944312.8530006, 1: 298491123.4903955, 2: 299646386.41739607}","{0: 392674603.62139326, 1: 362285050.4679844, 2: 547869677.3578393}"
ma6_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.13227527540670272, 1: 0.13213711487758945, 2: 0.13845285831509846}","{0: 0.0934062566705838, 1: 0.09061911187335502, 2: 0.09559067914327271}"
ma24_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.132278788703238, 1: 0.13156404755178908, 2: 0.13836548907328994}","{0: 0.09343917143891742, 1: 0.08992638984435801, 2: 0.09535108577824818}"
ma72_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.13212702536567753, 1: 0.13083146815660515, 2: 0.13862158810915856}","{0: 0.09324868117746511, 1: 0.08914795140842284, 2: 0.09584930385804442}"
rsi_ma6_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 6.628966081086216, 1: 6.930500492674735, 2: 6.917916259419612}","{0: 5.337134354257256, 1: 5.527289425972921, 2: 5.484588510751963}"
atr_macd_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 5.80640624216326e-07, 1: 2.639088507267142e-06, 2: 9.65833823408369e-07}","{0: 2.927848255604517e-05, 1: 2.7100482916496903e-05, 2: 3.331320453976182e-05}"
atr_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.0021565894683930782, 1: 0.0019078264729620658, 2: 0.0019282420287589869}","{0: 0.0027621498053518718, 1: 0.0022702641389757703, 2: 0.002348474666127543}"
rsi_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 50.09887844599579, 1: 51.99446801904072, 2: 50.09562284697245}","{0: 15.930071190865283, 1: 15.938182487523973, 2: 15.483046547458974}"
macd_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 2.24281611764975e-05, 1: 0.0003234924512814905, 2: -1.3869366984124574e-05}","{0: 0.0021773036840495837, 1: 0.002375734093814353, 2: 0.0023424054717087936}"
macd_signal_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 2.9092081727689458e-05, 1: 0.0002905125307061024, 2: -3.677016605081082e-05}","{0: 0.0020832111276630383, 1: 0.0021246896311398387, 2: 0.002149438835597081}"
volume_ratio_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: -0.12909610678136688, 1: -0.022447623076926486, 2: -0.0006582770039078457}","{0: 0.49324941925766064, 1: 0.4862451588318212, 2: 0.4815409527342305}"
stop_loss_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.013739870139068178, 1: 0.012285315597347858, 2: 0.01182133950177543}","{0: 0.008748638847061799, 1: 0.007445509062689333, 2: 0.006806380617568809}"
take_profit_signal_entropy,,,,,,,,,,,,,,,,,,,,"{0: 0.020609805208602266, 1: 0.018427973396021785, 2: 0.017732009252663147}","{0: 0.013122958270592693, 1: 0.011168263594033995, 2: 0.010209570926353221}"
